date,close,volume,open,high,low
2017/06/12,14.21,129802,14.79,15.1432,14
2017/06/13,14.48,61443,14.1,14.64,14.02
2017/06/14,14.25,37607,14.57,14.57,14.22
2017/06/15,14.43,64944,14.2,14.51,14.18
2017/06/16,14.81,42691,14.43,14.8301,14.3405
2017/06/19,14.79,212492,15,15.13,14.75
2017/06/20,14.88,84307,15,15.1045,14.316
2017/06/21,15.04,86752,14.88,15.149,14.7469
2017/06/22,16.14,209294,15.04,16.28,15.01
2017/06/23,16.44,156229,16.28,16.77,15.7536
2017/06/26,17.25,209566,16.84,17.2779,16.53
2017/06/27,17.31,163060,17.65,17.8499,17.11
2017/06/28,17.11,194843,17.31,17.8399,16.1
2017/06/29,16.07,200377,17.01,17.1,15.56
2017/06/30,16.02,49208,16.09,16.1899,15.6667
2017/07/03,15.81,48706,15.97,16.16,15.55
2017/07/05,16.08,72466,15.8,16.47,15.64
2017/07/06,15.78,31704,16.08,16.3,15.65
2017/07/07,15.88,35572,15.68,15.91,15.6793
2017/07/10,16.03,64696,15.99,16.2,15.6661
2017/07/11,16.67,71661,16.24,16.7,16.13
2017/07/12,16.71,84277,16.58,16.9386,16.25
2017/07/13,17.07,213449,17,17.2519,16.41
2017/07/14,16.99,155817,16.82,16.99,16.41
2017/07/17,17.1,72054,17,17.2899,16.5
2017/07/18,17,59585,17.08,17.09,16.35
2017/07/19,16.89,71258,17.01,17.0599,16.51
2017/07/20,16.53,87467,16.78,16.98,16.15
2017/07/21,16.64,28201,16.45,16.9096,16.37
2017/07/24,17.09,94125,16.6,17.2,16.534
2017/07/25,17.49,113066,17.2,17.739,17.015
2017/07/26,17.74,96305,17.5,17.93,17.425
2017/07/27,17.67,214643,17.95,18.37,17.16
2017/07/28,17.29,73870,17.7,17.73,17.01
2017/07/31,17.49,77049,17.29,17.6131,17.0501
2017/08/01,16.9,76303,17.5,17.5,16.5
2017/08/02,16.75,73472,17.02,17.19,16.59
2017/08/03,17.91,262581,16.73,18.035,16.73
2017/08/04,18.4,174206,18.21,18.55,17.7908
2017/08/07,18.5,177286,18.98,18.98,18.32
2017/08/08,18.74,146378,18.65,18.99,18.4
2017/08/09,17.57,118692,18.5,18.905,17.12
2017/08/10,17.8,132589,17.56,18.48,17.32
2017/08/11,19.22,577867,18.46,19.9398,18.16
2017/08/14,19.68,262947,19.45,19.99,19.22
2017/08/15,19.35,126730,19.89,20,19.09
2017/08/16,18.86,142912,19.25,19.78,18.77
2017/08/17,18.42,156193,18.61,19.12,18
2017/08/18,18.34,60044,18.37,18.68,18.13
2017/08/21,18.35,61730,18.13,18.9599,18.101
2017/08/22,18.37,129482,18.39,18.861,18.25
2017/08/23,18.41,115638,18.57,18.75,18.23
2017/08/24,19.35,185816,18.4,19.619,18.4
2017/08/25,19.5,130774,19.35,19.8,19.09
2017/08/28,19.69,566493,19.8,20.37,19.32
2017/08/29,19.84,101025,19.6,19.93,19.25
2017/08/30,20.66,344014,19.91,20.9178,19.91
2017/08/31,20.48,234590,20.9,21.3218,20.17
2017/09/01,20.56,127520,20.39,20.5899,19.6904
2017/09/05,20.2,146784,20.49,20.71,19.49
2017/09/06,18.47,449668,19.72,19.95,18.15
2017/09/07,19.1,200036,18.68,19.479,18.5899
2017/09/08,18.74,128660,19.16,19.2468,18.2
2017/09/11,19.15,84754,19.09,19.3625,18.56
2017/09/12,18.92,182732,19.15,19.3,18.06
2017/09/13,19.04,57872,18.72,19.12,18.55
2017/09/14,19.1,148339,18.88,19.11,18.58
2017/09/15,19.19,99395,19,19.31,18.75
2017/09/18,19.07,129049,19.03,19.2736,18.91
2017/09/19,18.75,116507,19.05,19.2,18.53
