date,close,volume,open,high,low
2013/06/12,59.43,464342,59.8,60.16,59.09
2013/06/13,60.02,448773,59.25,60.23,58.89
2013/06/14,59.59,341497,60.07,60.1,59.38
2013/06/17,59.55,524426,59.94,60.3365,59.16
2013/06/18,60.44,478263,59.72,60.67,59.72
2013/06/19,59.77,416231,60.42,60.83,59.75
2013/06/20,57.53,725351,59.15,59.23,57.37
2013/06/21,57.5,1161581,57.7,57.909,56.81
2013/06/24,57.01,955581,56.5,57.23,55.75
2013/06/25,57.57,673479,57.47,57.97,56.97
2013/06/26,57.69,699879,58.11,58.27,57.61
2013/06/27,58.8,542874,58.27,58.88,58.12
2013/06/28,58.15,4689276,58.77,59.22,58.06
2013/07/01,59.91,737781,58.6,60.35,58.41
2013/07/02,60.14,677897,59.99,60.54,59.87
2013/07/03,60.23,577946,59.73,60.61,59.71
2013/07/05,61.01,435960,60.95,61.32,60.25
2013/07/08,61.18,742244,61.27,61.48,60.86
2013/07/09,62.14,423399,61.57,62.26,60.98
2013/07/10,62.24,295560,62.04,62.4099,61.56
2013/07/11,63,406638,62.89,63.2257,62.342
2013/07/12,63.33,423569,62.88,63.79,62.8
2013/07/15,63.61,389498,63.7,64.07,63.24
2013/07/16,63.16,520241,63.96,64.15,62.99
2013/07/17,63.05,390275,63.26,63.37,62.95
2013/07/18,63.95,622088,63.05,63.96,63.04
2013/07/19,63.58,417679,63.8,64.03,63.39
2013/07/22,63.61,576444,63.5,63.88,63.33
2013/07/23,59.43,3132471,64.32,64.4488,58.67
2013/07/24,61.01,2134293,60.13,61.24,59.94
2013/07/25,61.5,1069925,61.04,61.55,60.62
2013/07/26,62.36,1332960,61.35,62.615,61.26
2013/07/29,61.88,542567,62.02,62.2799,61.65
2013/07/30,62.13,500642,62.08,62.46,61.63
2013/07/31,62.58,507014,62.23,62.9,62.14
2013/08/01,63.81,812223,63,64.7,62.85
2013/08/02,63.15,562877,63.7,63.85,63.01
2013/08/05,64,590835,63.15,64.4,63.0752
2013/08/06,62.95,745104,63.94,64.145,62.82
2013/08/07,62.5,651136,62.89,63.15,62.48
2013/08/08,62.7,476072,62.92,63.2,62.62
2013/08/09,62.77,421498,62.71,63.07,62.31
2013/08/12,62.41,513013,62.49,63.17,62.37
2013/08/13,62.12,645094,62.42,62.51,61.22
2013/08/14,62.49,485792,61.97,62.62,61.54
2013/08/15,61.6,516959,61.88,62.13,61.37
2013/08/16,61.46,424485,61.59,61.59,61
2013/08/19,61.03,486363,61.46,61.73,60.99
2013/08/20,61.91,278542,61.15,62.23,61
2013/08/21,61.5,244087,61.78,62.09,61.36
2013/08/22,62.57,228426,61.58,62.75,61.58
2013/08/23,62.22,253585,62.64,62.8599,61.82
2013/08/26,61.87,383832,62.29,62.62,61.71
2013/08/27,61.16,363150,61.23,61.4695,60.93
2013/08/28,61.8,290104,61.07,62.04,60.86
2013/08/29,62.05,249562,61.73,62.23,61.41
2013/08/30,61.44,481258,61.99,62.0275,61.35
2013/09/03,61.46,690103,61.62,62.17,60.95
2013/09/04,62.13,340343,61.41,62.2,61.3
2013/09/05,62.09,210855,62.05,62.4,61.8
2013/09/06,61.58,514796,62.15,62.3899,61.09
2013/09/09,63.04,1119271,62.04,63.07,62.04
2013/09/10,64.7,451860,63.74,64.73,63.4
2013/09/11,64.84,373123,64.27,65,64.1
2013/09/12,65.25,379352,64.92,65.3695,64.53
2013/09/13,66.12,381638,65.3,66.18,64.91
2013/09/16,66.26,376233,66.82,66.98,65.81
2013/09/17,66.86,374324,66.41,66.86,65.93
2013/09/18,67.28,301077,66.9,67.42,66.2899
2013/09/19,67.62,230156,67.21,67.71,67.08
2013/09/20,66.74,497570,67.7,67.7,66.2
2013/09/23,66.98,333790,66.64,67.21,65.93
2013/09/24,67.31,473647,66.96,67.8,66.59
2013/09/25,66.89,225687,67.21,67.53,66.38
2013/09/26,67.65,277934,66.94,67.77,66.81
2013/09/27,67.55,443115,67.43,67.754,67.01
2013/09/30,67.95,956501,66.5,68.38,66.47
2013/10/01,69.52,732151,68.12,69.55,67.99
2013/10/02,69.63,841835,68.06,69.92,68.06
2013/10/03,68.34,1576375,68.48,69.409,67.97
2013/10/04,68.73,365790,68.26,69.06,67.916
2013/10/07,68.36,574767,68.05,68.86,68.01
2013/10/08,67.43,717653,68.36,68.7,67.4
2013/10/09,66.59,776634,67.42,67.54,66.54
2013/10/10,67.18,937262,67.29,67.395,66.63
2013/10/11,68.36,584632,66.92,68.39,66.92
2013/10/14,68.85,556358,68.08,69.04,67.75
2013/10/15,64.9,2366819,67.34,67.34,64.89
2013/10/16,66.66,1017931,65.6,66.82,65.45
2013/10/17,66.63,666371,66.44,66.68,65.93
2013/10/18,67.05,784234,67,67.29,66.32
2013/10/21,66.98,522523,66.99,67.39,66.87
2013/10/22,67.21,632069,67.09,67.3,66.56
2013/10/23,66.35,537880,67,67.2099,66.05
2013/10/24,67.39,933202,66.61,67.49,66.21
2013/10/25,67.51,390795,67.55,67.9,67.15
2013/10/28,67.63,320775,67.67,67.99,67.21
2013/10/29,68.36,425423,67.88,68.405,67.53
2013/10/30,67.87,378352,68.58,68.61,67.5451
2013/10/31,67.06,489073,67.92,67.92,66.9
2013/11/01,66.89,379289,67.19,67.4,66.58
2013/11/04,67.1,299540,67.08,67.63,66.92
2013/11/05,68.01,424618,66.9,68.48,66.59
2013/11/06,67.93,254107,68.37,68.55,67.834
2013/11/07,66.7,312424,68.04,68.272,66.66
2013/11/08,67.6,281845,66.67,67.77,66.67
2013/11/11,67.81,292129,67.76,68.46,67.76
2013/11/12,68.44,430296,67.75,68.47,67.59
2013/11/13,69.21,361418,67.93,69.22,67.78
2013/11/14,69.22,295737,69.18,69.25,68.68
2013/11/15,68.84,319482,69.22,69.45,68.35
2013/11/18,67.87,327843,68.92,69.0215,67.54
2013/11/19,67.66,639303,67.66,67.91,67.16
2013/11/20,67.99,365786,67.95,68.34,67.62
2013/11/21,69.15,457267,68.29,69.4191,68.07
2013/11/22,69.75,380206,69.14,70.1,69.11
2013/11/25,69.52,330912,69.9,69.94,68.98
2013/11/26,69.4,343153,69.48,69.63,69.26
2013/11/27,69.31,303851,69.5,69.77,69.0164
2013/11/29,69.13,169740,69.44,69.64,69.06
2013/12/02,68.57,347233,68.94,69.13,68.39
2013/12/03,68.24,600148,68.1,68.51,67.78
2013/12/04,68.71,347543,67.92,69.05,67.92
2013/12/05,69.31,400803,68.88,69.59,68.45
2013/12/06,69.78,246871,69.35,69.94,69.17
2013/12/09,70.62,627573,70.41,71.17,70.25
2013/12/10,69.74,427851,70.6,70.77,69.74
2013/12/11,69.02,339235,69.53,69.86,68.73
2013/12/12,69.03,397125,68.75,69.26,68.28
2013/12/13,69.19,368665,69.1,69.39,68.901
2013/12/16,69.51,315847,69.37,70.06,69.28
2013/12/17,69.52,437237,69.47,69.73,69.28
2013/12/18,69.96,440462,69.66,69.96,68.53
2013/12/19,68.68,367933,69.83,69.99,68.46
2013/12/20,68.95,822582,67.85,68.98,67.69
2013/12/23,69.68,358848,68.99,69.8,68.906
2013/12/24,69.86,454674,69.78,70.15,69.72
2013/12/26,70.68,310178,69.93,71.055,69.85
2013/12/27,70.2,239714,70.93,71.05,70.07
2013/12/30,69.92,240131,70.16,70.22,69.61
2013/12/31,69.65,361334,70.15,70.38,69.33
2014/01/02,68.94,407339,69.65,69.65,68.74
2014/01/03,68.98,415493,69.01,69.25,68.81
2014/01/06,69.1,799620,69.11,69.4,68.6801
2014/01/07,69.67,486992,69.54,69.97,69.349
2014/01/08,69.78,851384,69.62,70.18,69.41
2014/01/09,70.28,576481,70.12,70.59,69.54
2014/01/10,71.21,623681,70.46,71.3647,70.24
2014/01/13,70.95,623974,71.27,71.97,70.68
2014/01/14,71,360336,71.07,71.28,70.67
2014/01/15,71.21,612651,71.12,71.72,70.39
2014/01/16,71.08,445456,71.13,71.62,70.79
2014/01/17,71.65,660288,71.19,71.68,71.04
2014/01/21,72.01,579707,72,72.21,71.65
2014/01/22,73.39,615682,72.01,73.41,72
2014/01/23,72.85,693423,73.31,73.4,72.7
2014/01/24,71.18,649513,72.51,72.69,71.18
2014/01/27,70.11,477325,71.35,71.45,69.6203
2014/01/28,69.86,480865,70.24,70.73,69.65
2014/01/29,68.7,786516,69.37,69.53,68.52
2014/01/30,69.57,978629,69.37,69.96,68.79
2014/01/31,70.61,645879,68.81,71,68.5004
2014/02/03,67.58,1001886,70.69,71.05,67.19
2014/02/04,68.3,863997,67.8,68.8,67.66
2014/02/05,67.17,1333223,68.14,68.18,66.18
2014/02/06,67.66,527528,67.23,68.25,67.02
2014/02/07,69.5,526573,67.95,69.52,67.74
2014/02/10,69.88,473692,69.39,69.97,69.03
2014/02/11,70.46,346597,70.05,70.78,69.721
2014/02/12,70.81,415390,70.26,70.91,70
2014/02/13,71.8,425305,70.44,71.99,70.22
2014/02/14,72.18,348678,71.63,72.4,71.395
2014/02/18,72.06,573975,72.24,72.54,71.85
2014/02/19,71.84,467583,71.75,72.7997,71.571
2014/02/20,72.26,357326,71.93,72.52,71.72
2014/02/21,73.25,538549,72.43,73.36,72.087
2014/02/24,74.69,936569,73.25,74.84,73.23
2014/02/25,75.03,1204169,76.95,77.74,74.18
2014/02/26,77.65,1360102,75.5,77.89,75.26
2014/02/27,77.99,925484,77.5,78.35,77.13
2014/02/28,79.06,854276,78.27,79.4,78.11
2014/03/03,78.78,749272,78.28,79.01,77.68
2014/03/04,79.48,652597,79.48,79.93,79.14
2014/03/05,79.11,349517,79.63,79.63,78.86
2014/03/06,79.19,344121,79.08,79.67,78.9
2014/03/07,79.34,324824,79.46,79.67,78.9
2014/03/10,79.56,321057,79.38,79.78,78.92
2014/03/11,79.05,387911,79.68,80.13,78.71
2014/03/12,79.92,544215,78.55,79.98,78.41
2014/03/13,78.91,647195,80.31,80.47,78.61
2014/03/14,79.56,429940,79.69,80.14,79.25
2014/03/17,80.02,377880,80,80.52,79.75
2014/03/18,79.98,387860,80.2,80.61,79.69
2014/03/19,78.27,425448,79.79,80,78.141
2014/03/20,78.84,519391,78.09,79.02,77.87
2014/03/21,77.53,747669,79.09,79.57,77.49
2014/03/24,76.84,716840,77.81,78.1,75.81
2014/03/25,76.64,328093,77.47,78.075,76.51
2014/03/26,75.54,397285,76.96,77.09,75.5
2014/03/27,75.26,377525,75.35,75.56,74.75
2014/03/28,76.23,408603,75.3,77.05,75.3
2014/03/31,76.97,312020,76.68,77.27,76.61
2014/04/01,78.62,472008,77,78.67,77
2014/04/02,78.2,469357,78.8,78.91,77.9
2014/04/03,77.62,431103,78.43,78.94,77.3801
2014/04/04,75.43,512460,78.07,78.07,75.19
2014/04/07,73.68,715722,75.15,75.2,73.0123
2014/04/08,75.75,629815,73.9,75.77,73.61
2014/04/09,76.61,391916,75.8,76.68,75.28
2014/04/10,74.29,356161,76.57,76.7153,74.09
2014/04/11,72.71,635084,73.63,74.265,72.421
2014/04/14,73.75,370718,73.68,74.59,73.15
2014/04/15,74.17,537263,73.74,74.49,73.32
2014/04/16,74.97,223899,74.92,75.07,74.48
2014/04/17,74.28,250016,74.98,75.45,74.25
2014/04/21,74.36,196804,74.15,74.81,74
2014/04/22,75.51,270657,74.47,75.62,74.31
2014/04/23,75.26,426180,75.67,75.86,75.04
2014/04/24,75.09,372786,75.63,75.66,74.47
2014/04/25,73.76,215161,74.62,75.04,73.73
2014/04/28,72.69,386237,74.12,74.37,71.6701
